km,price
45000,80000
40,425000
28000,325000
36000,575000
41000,175000
25000,190000
24530,830000
60000,250000
60000,182000
30000,315000
32000,415000
48660,320000
45000,80000
40,425000
4000,1000000
16934,500000
43000,350000
35550,160000
43000,350000
39522,310000
39000,75000
55000,100000
55000,100000
55000,100000
72000,190000
15975,290000
70000,95000
23452,180000
35522,385000
48508,250000
15487,180000
39000,105000
39000,105000
82000,650000
20000,689999
68000,448000
32000,549000
38000,501000
27000,489999
33000,280000
60000,250000
46000,349999
46000,284999
36000,345000
55000,499999
16000,235000
36000,249999
47000,1475000
23452,180000
35522,385000
48508,250000
15487,180000
39000,105000
39000,105000
35000,395000
30874,220000
15000,170000
29685,85000
41000,175000
25000,190000
130000,200000
24530,830000
130000,200000
19000,570000
60000,315000
60000,182000
30000,315000
41000,110000
35000,501000
54000,448999
13000,1891111
16000,235000
38200,159500
22000,344999
22000,344999
50000,449999
13500,1891111
30000,865000
50000,699000
20000,375000
39000,489999
30000,224999
3600,1200000
32000,195000
38000,351000
45000,160000
35000,240000
50000,90000
32000,415000
45863,155000
60500,600000
12500,189500
60000,350000
35000,210000
35000,390000
45000,135000
35000,1600000
38000,701000
18000,265000
35000,525000
13349,372000
29000,635000
44000,550000
29000,575000
42000,485000
14000,155000
49000,345000
42000,325000
36200,329500
50000,195000
55000,251111
45000,569999
51000,69999
19000,299999
46000,220000
33000,399999
13349,372000
104000,450000
55000,270000
33333,350000
33600,158400
5600,350000
41000,179000
70000,125000
7500,200000
45000,299000
38000,220000
30000,150000
35000,285000
24330,830000
65480,210000
41000,340000
20000,90000
200000,70000
70000,289999
59000,349999
99000,849999
46000,749999
2800,399999
32000,274999
22000,984999
50000,449999
22000,344999
45000,224999
21000,599999
11000,244999
41000,399999
39000,489999
50000,474999
66000,499999
3000,310000
45000,85000
7000,245000
38500,189500
37200,169500
43200,159500
24800,275000
60000,370000
45872,168000
40000,150000
45000,145000
38000,98500
50000,699000
11400,85000
42000,575000
39000,549000
47000,209000
27000,185000
97200,900000
52000,699999
30000,224999
55000,274999
46000,284999
30000,599999
44000,199999
45000,544999
31000,199000
175430,320000
38000,540000
37000,340000
65000,75000
38200,159500
13000,1891111
7500,49000
3350,700000
60000,55000
54000,448999
32000,895000
75000,355000
62000,565000
73000,365000
41000,145000
35000,210000
2200,40000
39000,125000
45000,135000
45000,135000
65000,285000
54870,145000
34580,135000
97000,450000
25000,375000
20000,375000
20000,365000
18000,500000
35000,400000
60,390000
35000,501000
80200,330000
3200,580000
46000,265000
0,379000
5000,219000
588,385000
36000,275000
38000,330000
45000,110000
71200,80000
52000,519000
29000,730000
47000,1475000
47000,699000
20000,2000000
30000,2100000
5000,340000
35000,390000
31000,1400000
7000,245000
175430,320000
175400,320000
41000,450000
33000,311000
